Rank,Country,CPI,Year,ID
1,Denmark,9.94,1997,DNK
2,Finland,9.48,1997,FIN
3,Sweden,9.35,1997,SWE
4,New Zealand,9.23,1997,NZL
5,Canada,9.1,1997,CAN
6,Netherlands,9.03,1997,NLD
7,Norway,8.92,1997,NOR
8,Australia,8.86,1997,AUS
9,Singapore,8.66,1997,SGP
10,Luxemburg,8.61,1997,LUX
11,Switzerland,8.61,1997,CHE
12,Ireland,8.28,1997,IRL
13,Germany,8.23,1997,DEU
14,United Kingdom,8.22,1997,GBR
15,Israel,7.97,1997,ISR
16,USA,7.61,1997,USA
17,Austria,7.61,1997,AUT
18,Hong Kong,7.28,1997,HKG
19,Portugal,6.97,1997,PRT
20,France,6.66,1997,FRA
21,Japan,6.57,1997,JPN
22,Costa Rica,6.45,1997,CRI
23,Chile,6.05,1997,CHL
24,Spain,5.9,1997,ESP
25,Greece,5.35,1997,GRC
26,Belgium,5.25,1997,BEL
27,Czech Republic,5.2,1997,CZE
28,Hungary,5.18,1997,HUN
29,Poland,5.08,1997,POL
30,Italy,5.03,1997,ITA
31,Taiwan,5.02,1997,TWN
32,Malaysia,5.01,1997,MYS
33,South Africa,4.95,1997,ZAF
34,South Korea,4.29,1997,KOR
35,Uruguay,4.14,1997,URY
36,Brazil,3.56,1997,BRA
37,Romania,3.44,1997,ROU
38,Turkey,3.21,1997,TUR
39,Thailand,3.06,1997,THA
40,Philippines,3.05,1997,PHL
41,China,2.88,1997,CHN
42,Argentina,2.81,1997,ARG
43,Vietnam,2.79,1997,VNM
44,Venezuela,2.77,1997,VEN
45,India,2.75,1997,IND
46,Indonesia,2.72,1997,IDN
47,Mexico,2.66,1997,MEX
48,Pakistan,2.53,1997,PAK
49,Russia,2.27,1997,RUS
50,Colombia,2.23,1997,COL
51,Bolivia,2.05,1997,BOL
52,Nigeria,1.76,1997,NGA
