Rank,Country,CPI,Year
1,New Zealand,9.5,2011
2,Denmark,9.4,2011
2,Finland,9.4,2011
4,Sweden,9.3,2011
5,Singapore,9.2,2011
6,Norway,9.0,2011
7,Netherlands,8.9,2011
8,Australia,8.8,2011
8,Switzerland,8.8,2011
10,Canada,8.7,2011
11,Luxembourg,8.5,2011
12,Hong Kong,8.4,2011
13,Iceland,8.3,2011
14,Germany,8.0,2011
14,Japan,8.0,2011
16,Austria,7.8,2011
16,Barbados,7.8,2011
16,United Kingdom,7.8,2011
19,Belgium,7.5,2011
19,Ireland,7.5,2011
21,Bahamas,7.3,2011
22,Chile,7.2,2011
22,Qatar,7.2,2011
24,United States,7.1,2011
25,France,7.0,2011
25,Saint Lucia,7.0,2011
25,Uruguay,7.0,2011
28,United Arab Emirates,6.8,2011
29,Estonia,6.4,2011
30,Cyprus,6.3,2011
31,Spain,6.2,2011
32,Botswana,6.1,2011
32,Portugal,6.1,2011
32,Taiwan,6.1,2011
35,Slovenia,5.9,2011
36,Israel,5.8,2011
36,Saint Vincent and the Grenadines,5.8,2011
38,Bhutan,5.7,2011
39,Malta,5.6,2011
39,Puerto Rico,5.6,2011
41,Cape Verde,5.5,2011
41,Poland,5.5,2011
43,South Korea,5.4,2011
44,Brunei,5.2,2011
44,Dominica,5.2,2011
46,Bahrain,5.1,2011
46,Macau,5.1,2011
46,Mauritius,5.1,2011
49,Rwanda,5.0,2011
50,Costa Rica,4.8,2011
50,Lithuania,4.8,2011
50,Oman,4.8,2011
50,Seychelles,4.8,2011
54,Hungary,4.6,2011
54,Kuwait,4.6,2011
56,Jordan,4.5,2011
57,Czech Republic,4.4,2011
57,Namibia,4.4,2011
57,Saudi Arabia,4.4,2011
60,Malaysia,4.3,2011
61,Cuba,4.2,2011
61,Latvia,4.2,2011
61,Turkey,4.2,2011
64,Georgia,4.1,2011
64,South Africa,4.1,2011
66,Croatia,4.0,2011
66,Montenegro,4.0,2011
66,Slovakia,4.0,2011
69,Ghana,3.9,2011
69,Italy,3.9,2011
69,FYR Macedonia,3.9,2011
69,Samoa,3.9,2011
73,Brazil,3.8,2011
73,Tunisia,3.8,2011
75,China,3.6,2011
75,Romania,3.6,2011
77,Gambia,3.5,2011
77,Lesotho,3.5,2011
77,Vanuatu,3.5,2011
80,Colombia,3.4,2011
80,El Salvador,3.4,2011
80,Greece,3.4,2011
80,Morocco,3.4,2011
80,Peru,3.4,2011
80,Thailand,3.4,2011
86,Bulgaria,3.3,2011
86,Jamaica,3.3,2011
86,Panama,3.3,2011
86,Serbia,3.3,2011
86,Sri Lanka,3.3,2011
91,Bosnia and Herzegovina,3.2,2011
91,Liberia,3.2,2011
91,Trinidad and Tobago,3.2,2011
91,Zambia,3.2,2011
95,Albania,3.1,2011
95,India,3.1,2011
95,Kiribati,3.1,2011
95,Swaziland,3.1,2011
95,Tonga,3.1,2011
100,Argentina,3.0,2011
100,Benin,3.0,2011
100,Burkina Faso,3.0,2011
100,Djibouti,3.0,2011
100,Gabon,3.0,2011
100,Indonesia,3.0,2011
100,Madagascar,3.0,2011
100,Malawi,3.0,2011
100,Mexico,3.0,2011
100,Sao Tome & Principe,3.0,2011
100,Suriname,3.0,2011
100,Tanzania,3.0,2011
112,Algeria,2.9,2011
112,Egypt,2.9,2011
112,Kosovo,2.9,2011
112,Moldova,2.9,2011
112,Senegal,2.9,2011
112,Vietnam,2.9,2011
118,Bolivia,2.8,2011
118,Mali,2.8,2011
120,Bangladesh,2.7,2011
120,Ecuador,2.7,2011
120,Ethiopia,2.7,2011
120,Guatemala,2.7,2011
120,Iran,2.7,2011
120,Kazakhstan,2.7,2011
120,Mongolia,2.7,2011
120,Mozambique,2.7,2011
120,Solomon Islands,2.7,2011
129,Armenia,2.6,2011
129,Dominican Republic,2.6,2011
129,Honduras,2.6,2011
129,Philippines,2.6,2011
129,Syria,2.6,2011
134,Cameroon,2.5,2011
134,Eritrea,2.5,2011
134,Guyana,2.5,2011
134,Lebanon,2.5,2011
134,Maldives,2.5,2011
134,Nicaragua,2.5,2011
134,Niger,2.5,2011
134,Pakistan,2.5,2011
134,Sierra Leone,2.5,2011
143,Azerbaijan,2.4,2011
143,Belarus,2.4,2011
143,Comoros,2.4,2011
143,Mauritania,2.4,2011
143,Nigeria,2.4,2011
143,Russia,2.4,2011
143,Timor-Leste,2.4,2011
143,Togo,2.4,2011
143,Uganda,2.4,2011
152,Tajikistan,2.3,2011
152,Ukraine,2.3,2011
154,Central African Republic,2.2,2011
154,Congo  Republic,2.2,2011
154,Côte d´Ivoire,2.2,2011
154,Guinea-Bissau,2.2,2011
154,Kenya,2.2,2011
154,Laos,2.2,2011
154,Nepal,2.2,2011
154,Papua New Guinea,2.2,2011
154,Paraguay,2.2,2011
154,Zimbabwe,2.2,2011
164,Cambodia,2.1,2011
164,Guinea,2.1,2011
164,Kyrgyzstan,2.1,2011
164,Yemen,2.1,2011
168,Angola,2.0,2011
168,Chad,2.0,2011
168,Democratic Republic of the Congo ,2.0,2011
168,Libya,2.0,2011
172,Burundi,1.9,2011
172,Equatorial Guinea,1.9,2011
172,Venezuela,1.9,2011
175,Haiti,1.8,2011
175,Iraq,1.8,2011
177,Sudan,1.6,2011
177,Turkmenistan,1.6,2011
177,Uzbekistan,1.6,2011
180,Afghanistan,1.5,2011
180,Myanmar,1.5,2011
182,North Korea,1.0,2011
182,Somalia,1.0,2011
