Rank,Country,CPI
1,Iceland,9.7
2,Finland,9.6
2,New Zealand,9.6
4,Denmark,9.5
5,Singapore,9.4
6,Sweden,9.2
7,Switzerland,9.1
8,Norway,8.9
9,Australia,8.8
10,Austria,8.7
11,Netherlands,8.6
11,United Kingdom,8.6
13,Luxembourg,8.5
14,Canada,8.4
15,Hong Kong,8.3
16,Germany,8.2
17,USA,7.6
18,France,7.5
19,Belgium,7.4
19,Ireland,7.4
21,Chile,7.3
21,Japan,7.3
23,Spain,7
24,Barbados,6.9
25,Malta,6.6
26,Portugal,6.5
27,Estonia,6.4
28,Israel,6.3
28,Oman,6.3
30,United Arab Emirates,6.2
31,Slovenia,6.1
32,Botswana,5.9
32,Qatar,5.9
32,Taiwan,5.9
32,Uruguay,5.9
36,Bahrain,5.8
37,Cyprus,5.7
37,Jordan,5.7
39,Malaysia,5.1
40,Hungary,5
40,Italy,5
40,South Korea,5
43,Tunisia,4.9
44,Lithuania,4.8
45,Kuwait,4.7
46,South Africa,4.5
47,Czech Republic,4.3
47,Greece,4.3
47,Namibia,4.3
47,Slovakia,4.3
51,Costa Rica,4.2
51,El Salvador,4.2
51,Latvia,4.2
51,Mauritius,4.2
55,Bulgaria,4
55,Colombia,4
55,Fiji,4
55,Seychelles,4
59,Cuba,3.8
59,Thailand,"3,8"
59,Trinidad and Tobago,"3,8"
62,Belize,3.7
62,Brazil,"3,7"
64,Jamaica,3.6
65,Ghana,3.5
65,Mexico,3.5
65,Panama,3.5
65,Peru,3.5
65,Turkey,3.5
70,Burkina Faso,3.4
70,Croatia,3.4
70,Egypt,3.4
70,Lesotho,3.4
70,Poland,3.4
70,Saudi Arabia,3.4
70,Syria,3.4
77,Laos,3.3
78,China,3.2
78,Morocco,3.2
78,Senegal,3.2
78,Sri Lanka,3.2
78,Suriname,3.2
83,Lebanon,3.1
83,Rwanda,3.1
85,Dominican Republic,3
85,Mongolia,3
85,Romania,3
88,Armenia,2.9
88,Benin,2.9
88,Bosnia and Herzegovina,2.9
88,Gabon,2.9
88,India,2.9
88,Iran,2.9
88,Mali,2.9
88,Moldova,2.9
88,Tanzania,2.9
97,Algeria,2.8
97,Argentina,2.8
97,Madagascar,2.8
97,Malawi,2.8
97,Mozambique,2.8
97,Serbia and Montenegro,2.8
103,Gambia,2.7
103,Macedonia,2.7
103,Swaziland,2.7
103,Yemen,2.7
107,Belarus,2.6
107,Eritrea,2.6
107,Honduras,2.6
107,Kazakhstan,2.6
107,Nicaragua,2.6
107,Palestine,2.6
107,Ukraine,2.6
107,Vietnam,2.6
107,Zambia,2.6
107,Zimbabwe,2.6
117,Afghanistan,2.5
117,Bolivia,2.5
117,Ecuador,2.5
117,Guatemala,2.5
117,Guyana,2.5
117,Libya,2.5
117,Nepal,2.5
117,Philippines,2.5
117,Uganda,2.5
126,Albania,2.4
126,Niger,2.4
126,Russia,2.4
126,Sierra Leone,2.4
130,Burundi,2.3
130,Cambodia,2.3
130,"Congo, Republic of",2.3
130,Georgia,2.3
130,Kyrgyzstan,2.3
130,Papua New Guinea,2.3
130,Venezuela,2.3
137,Azerbaijan,2.2
137,Cameroon,2.2
137,Ethiopia,2.2
137,Indonesia,2.2
137,Iraq,2.2
137,Liberia,2.2
137,Uzbekistan,2.2
144,"Congo, Democratic Republic",2.1
144,Kenya,2.1
144,Pakistan,2.1
144,Paraguay,2.1
144,Somalia,2.1
144,Sudan,2.1
144,Tajikistan,2.1
151,Angola,2
152,Cote d'Ivoire,1.9
152,Equatorial Guinea,1.9
152,Nigeria,1.9
155,Haiti,1.8
155,Myanmar,1.8
155,Turkmenistan,1.8
158,Bangladesh,1.7
158,Chad,1.7
