Rank,Country,CPI
1,Finland,9.6
1,Iceland,9.6
1,New Zealand,9.6
4,Denmark,9.5
5,Singapore,9.4
6,Sweden,9.2
7,Switzerland,9.1
8,Norway,8.8
9,Australia,8.7
9,Netherlands,8.7
11,Austria,8.6
11,Luxembourg,8.6
11,United Kingdom,8.6
14,Canada,8.5
15,Hong Kong,8.3
16,Germany,8
17,Japan,7.6
18,France,7.4
18,Ireland,7.4
20,Belgium,7.3
20,Chile,7.3
20,USA,7.3
23,Spain,6.8
24,Barbados,6.7
24,Estonia,6.7
26,Macau,6.6
26,Portugal,6.6
28,Malta,6.4
28,Slovenia,6.4
28,Uruguay,6.4
31,United Arab Emirates,6.2
32,Bhutan,6
32,Qatar,6
34,Israel,5.9
34,Taiwan,5.9
36,Bahrain,5.7
37,Botswana,5.6
37,Cyprus,5.6
39,Oman,5.4
40,Jordan,5.3
41,Hungary,5.2
42,Mauritius,5.1
42,South Korea,5.1
44,Malaysia,5
45,Italy,4.9
46,Czech Republic,4.8
46,Kuwait,4.8
46,Lithuania,4.8
49,Latvia,4.7
49,Slovakia,4.7
51,South Africa,4.6
51,Tunisia,4.6
53,Dominica,4.5
54,Greece,4.4
55,Costa Rica,4.1
55,Namibia,4.1
57,Bulgaria,4
57,El Salvador,4
59,Colombia,3.9
60,Turkey,3.8
61,Jamaica,3.7
61,Poland,3.7
63,Lebanon,3.6
63,Seychelles,3.6
63,Thailand,3.6
66,Belize,3.5
66,Cuba,3.5
66,Grenada,3.5
69,Croatia,3.4
70,Brazil,3.3
70,China,3.3
70,Egypt,3.3
70,Ghana,3.3
70,India,3.3
70,Mexico,3.3
70,Peru,3.3
70,Saudi Arabia,3.3
70,Senegal,3.3
79,Burkina Faso,3.2
79,Lesotho,3.2
79,Moldova,3.2
79,Morocco,3.2
79,Trinidad and Tobago,3.2
84,Algeria,3.1
84,Madagascar,3.1
84,Mauritania,3.1
84,Panama,3.1
84,Romania,3.1
84,Sri Lanka,3.1
90,Gabon,3
90,Serbia,3
90,Suriname,3
93,Argentina,2.9
93,Armenia,2.9
93,Bosnia and Herzgegovina,2.9
93,Eritrea,2.9
93,Syria,2.9
93,Tanzania,2.9
99,Dominican Republic,2.8
99,Georgia,2.8
99,Mali,2.8
99,Mongolia,2.8
99,Mozambique,2.8
99,Ukraine,2.8
105,Bolivia,2.7
105,Iran,2.7
105,Libya,2.7
105,Macedonia,2.7
105,Malawi,2.7
105,Uganda,2.7
111,Albania,2.6
111,Guatemala,2.6
111,Kazakhstan,2.6
111,Laos,2.6
111,Nicaragua,2.6
111,Paraguay,2.6
111,Timor-Leste,2.6
111,Viet Nam,2.6
111,Yemen,2.6
111,Zambia,2.6
121,Benin,2.5
121,Gambia,2.5
121,Guyana,2.5
121,Honduras,2.5
121,Nepal,2.5
121,Philippines,2.5
121,Russia,2.5
121,Rwanda,2.5
121,Swaziland,2.5
130,Azerbaijan,2.4
130,Burundi,2.4
130,Central African Republic,2.4
130,Ethiopia,2.4
130,Indonesia,2.4
130,Papua New Guinea,2.4
130,Togo,2.4
130,Zimbabwe,2.4
138,Cameroon,2.3
138,Ecuador,2.3
138,Niger,2.3
138,Venezuela,2.3
142,Angola,2.2
142,"Congo, Republic",2.2
142,Kenya,2.2
142,Kyrgyzstan,2.2
142,Nigeria,2.2
142,Pakistan,2.2
142,Sierra Leone,2.2
142,Tajikistan,2.2
142,Turkmenistan,2.2
151,Belarus,2.1
151,Cambodia,2.1
151,Côte d´Ivoire,2.1
151,Equatorial Guinea,2.1
151,Uzbekistan,2.1
156,Bangladesh,2
156,Chad,2
156,"Congo, Democratic Republic",2
156,Sudan,2
160,Guinea,1.9
160,Iraq,1.9
160,Myanmar,1.9
163,Haiti,1.8
