Rank,Country,CPI,Year,
1,New Zealand,9.4,2009,
2,Denmark,9.3,2009,
3,Singapore,9.2,2009,
3,Sweden,9.2,2009,
5,Switzerland,9,2009,
6,Finland,8.9,2009,
6,Netherlands,8.9,2009,
8,Australia,8.7,2009,
8,Canada,8.7,2009,
8,Iceland,8.7,2009,
11,Norway,8.6,2009,
12,Hong Kong,8.2,2009,
12,Luxembourg,8.2,2009,
14,Germany,8,2009,
14,Ireland,8,2009,
16,Austria,7.9,2009,
17,Japan,7.7,2009,
17,United Kingdom,7.7,2009,
19,United States,7.5,2009,
20,Barbados,7.4,2009,
21,Belgium,7.1,2009,
22,Qatar,7,2009,
22,Saint Lucia,7,2009,
24,France,6.9,2009,
25,Chile,6.7,2009,
25,Uruguay,6.7,2009,
27,Cyprus,6.6,2009,
27,Estonia,6.6,2009,
27,Slovenia,6.6,2009,
30,United Arab Emirates,6.5,2009,
31,Saint Vincent and the Grenadines,6.4,2009,
32,Israel,6.1,2009,
32,Spain,6.1,2009,
34,Dominica,5.9,2009,
35,Portugal,5.8,2009,
35,Puerto Rico,5.8,2009,
37,Botswana,5.6,2009,
37,Taiwan,5.6,2009,
39,Brunei Darussalam,5.5,2009,
39,Oman,5.5,2009,
39,Korea (South),5.5,2009,
42,Mauritius,5.4,2009,
43,Costa Rica,5.3,2009,
43,Macau,5.3,2009,
45,Malta,5.2,2009,
46,Bahrain,5.1,2009,
46,Cape Verde,5.1,2009,
46,Hungary,5.1,2009,
49,Bhutan,5,2009,
49,Jordan,5,2009,
49,Poland,5,2009,
52,Czech Republic,4.9,2009,
52,Lithuania,4.9,2009,
54,Seychelles,4.8,2009,
55,South Africa,4.7,2009,
56,Latvia,4.5,2009,
56,Malaysia,4.5,2009,
56,Namibia,4.5,2009,
56,Samoa,4.5,2009,
56,Slovakia,4.5,2009,
61,Cuba,4.4,2009,
61,Turkey,4.4,2009,
63,Italy,4.3,2009,
63,Saudi Arabia,4.3,2009,
65,Tunisia,4.2,2009,
66,Croatia,4.1,2009,
66,Georgia,4.1,2009,
66,Kuwait,4.1,2009,
69,Ghana,3.9,2009,
69,Montenegro,3.9,2009,
71,Bulgaria,3.8,2009,
71,FYR Macedonia,3.8,2009,
71,Greece,3.8,2009,
71,Romania,3.8,2009,
75,Brazil,3.7,2009,
75,Colombia,3.7,2009,
75,Peru,3.7,2009,
75,Suriname,3.7,2009,
79,Burkina Faso,3.6,2009,
79,China,3.6,2009,
79,Swaziland,3.6,2009,
79,Trinidad and Tobago,3.6,2009,
83,Serbia,3.5,2009,
84,El Salvador,3.4,2009,
84,Guatemala,3.4,2009,
84,India,3.4,2009,
84,Panama,3.4,2009,
84,Thailand,3.4,2009,
89,Lesotho,3.3,2009,
89,Malawi,3.3,2009,
89,Mexico,3.3,2009,
89,Moldova,3.3,2009,
89,Morocco,3.3,2009,
89,Rwanda,3.3,2009,
95,Albania,3.2,2009,
95,Vanuatu,3.2,2009,
97,Liberia,3.1,2009,
97,Sri Lanka,3.1,2009,
99,Bosnia and Herzegovina,3,2009,
99,Dominican Republic,3,2009,
99,Jamaica,3,2009,
99,Madagascar,3,2009,
99,Senegal,3,2009,
99,Tonga,3,2009,
99,Zambia,3,2009,
106,Argentina,2.9,2009,
106,Benin,2.9,2009,
106,Gabon,2.9,2009,
106,Gambia,2.9,2009,
106,Niger,2.9,2009,
111,Algeria,2.8,2009,
111,Djibouti,2.8,2009,
111,Egypt,2.8,2009,
111,Indonesia,2.8,2009,
111,Kiribati,2.8,2009,
111,Mali,2.8,2009,
111,Sao Tome and Principe,2.8,2009,
111,Solomon Islands,2.8,2009,
